,question,ans,document,score,trace
0,what is leave balance ?,"[right answer to be added by NHMind Team] Leave balance is ""___"".(System Should extract this information NH Mind LMS page)",FAQ,0.9999999999997746,
1,what is prohance ?,[right answer to be added by NHMind Team],FAQ,0.9999999999999175,
2,can i know more details on leave policy ?,[right answer to be added by NHMind Team] All types of leave have been clubbed under a composite category called Consolidated Leave (CL). At the end of every working month 1.75 CL is credited to the leader’s leave balance. Leave cannot be sanctioned or availed of in advance.,FAQ,0.9999999999999234,
3,is there an official courier service ?,All the official courier parcels that need to be sent have to be handed over to the Administration leaders who would take it forward with the designated courier service vendor.,FAQ,0.9999999999999429,
4,where can i find pms – ca on nh mind website ?,My Transactions > PMS > Performance Management System,FAQ,0.9999999999999323,
5,what day is today ?,AMIGO is continuously being upgraded and this feature will be added soon.,FAQ,0.999999999999867,
6,what is conceptual framework ?,The NSL framework is a new paradigm that makes all solutions informational and searchable to bring them within the reach of the common man. The central dogma of NSL is entities and their relationships in the context of agents and purpose. The Conceptual Framework trains all leaders in the NSL Way.,FAQ,0.9550577224861497,
7,what is daily leap ?,"Leaders who acquire knowledge grow as professionals and deliver the best results. NHSL facilitates the growth of its leaders by providing them the opportunity to access knowledge – internally or externally. It calls upon every leader to keep their learning curve steep in their quest for knowledge to become Leaders at Knowledge Edge (LAKE). However, in order to reach the edge, the organization must first identify the gaps, termed the Leaders’ Knowledge Gaps (LKG). The LKGs will be filled through the Leadership Acceleration Program (LEAP), where internal or external leaders share knowledge and expertise to enable the organization to operate at the edge. Leaders certified in NSL are two times smarter, powered by NSL. ",CDQA,9.123583688147422,"{'query': 'daily leap', 'formatted_query': 'what is daily leap ?', 'FAQ_Lookup_Question': 'Take me to daily leap', 'FAQ_confidence': '0.7786420047334106', 'FAQ_Answer': 'System should take the user through the following path: My self > My Daily leap', 'curent_threshold': '0.91', 'CDQA_ans': 'Leadership Acceleration Program', 'CDQA_score': 9.123583688147422}"
8,what is the antivirus policy ?,"[right answer to be added by NHMind Team] All desktops, laptops, or servers are loaded with a good antivirus, which is regularly updated. Virus scanning is performed periodically.",FAQ,0.9549912589195755,
9,when will the virtual operations end ?,[right answer to be added by NHMind Team],FAQ,0.999999999999931,
10,can i get an apple laptop ?,"In case of any physical damage to the laptop after it is issued to a leader, the leader would be required to reimburse the original cost of the laptop (not the depreciated cost) to the organization and retain the laptop. The leader will be provided with a new laptop for official use. ",CDQA,4.406785107813152,"{'query': 'can i get an apple laptop', 'formatted_query': 'can i get an apple laptop ?', 'FAQ_Lookup_Question': 'Can I ask for a new laptop?', 'FAQ_confidence': '0.8928814454475924', 'FAQ_Answer': 'Leaders are allocated the standard configuration laptops, except in cases where specific hardware is required for a designated role. Any exceptions or special requests for hardware or software need the approval of the respective module leader and the Finance Module Leader.', 'curent_threshold': '0.91', 'CDQA_ans': 'The leader will be provided with a new laptop for official use', 'CDQA_score': 4.406785107813152}"
11,what transactions can i do on nh mind website ?,[right answer to be added by NHMind Team],FAQ,0.9999999999999404,
12,can i apply for a leave i took last week ?,[right answer to be added by NHMind Team],FAQ,0.9762140306605299,
13,when was the nh mind guide last updated ?,AMIGO is continuously being upgraded and this feature will be added soon.,FAQ,0.999999999999926,
14,who is my work buddy ?,AMIGO is continuously being upgraded and this feature will be added soon.,FAQ,0.9999999999999267,
15,what is the strength of bepl ?,[right answer to be added by NHMind Team],FAQ,0.9643535633539534,
16,who owns bepl ?,[right answer to be added by NHMind Team],FAQ,0.9409573466466057,
17,how many people are there in my group module ?,AMIGO is continuously being upgraded and this feature will be added soon.,FAQ,0.99999999999994,
18,can i be moved to another module if i don ’ t like the present one ?,[right answer to be added by NHMind Team],FAQ,0.9999999999999452,
19,"what is my reporting leader doesn ’ t treat me well , can i complain to someone ?","[right answer to be added by NHMind Team] The complainant needs to submit a detailed complaint, along with any documentary evidence available or names of witnesses, to any of the committee members at the workplace",FAQ,0.9999999999999287,
20,can i ask for headphones ?,[right answer to be added by NHMind Team],FAQ,0.9999999999999258,
21,is the company an equal opportunity workplace ?,[right answer to be added by NHMind Team],FAQ,0.9999999999999434,
22,is it compulsory to do udemy courses ?,[right answer to be added by NHMind Team],FAQ,0.9999999999999349,
23,what are the career growth opportunities here ?,"[right answer to be added by NHMind Team] The organization is committed to its leaders’ professional growth. Leaders have free access to a wide range of courses on Udemy. For any other specific requirements, leaders may discuss the need for the course with their module leader.",FAQ,0.9999999999999339,
24,how is back ground investigation done ?,"Once the runtime environment is in place, NSL takes a life of its own. Any solution would be at the doorsteps of clarity of mind. Solutions can be built in one hour where they would otherwise take months. Further, DLD will pave the way for most of the solutions to be autogenerated. In other words, as one throws a wish in the air, solutions shall be on the ground.  ",CDQA,1.6194607608196556,"{'query': 'how is back ground investigation done?', 'formatted_query': 'how is back ground investigation done ?', 'FAQ_Lookup_Question': 'What should we do if issues with system that are IT related?', 'FAQ_confidence': '0.8344044194458048', 'FAQ_Answer': 'Leaders shall report any weaknesses they discover in computer security and any incidents of possible misuse or violation of this policy to their reporting authority/IT module leader. No leader, however, will engage in any activity to exploit the weaknesses of a system.', 'curent_threshold': '0.91', 'CDQA_ans': 'as one throws a wish in the air', 'CDQA_score': 1.6194607608196556}"
